partition,seed,scenario,method,rawAlertEvents,mergedIncidents,truePositiveIncidents,falsePositiveIncidents,truthIncidents,detectedTruthIncidents,incidentRecall,incidentPrecision,falseAlertsPerOperatingDay,operatingSeconds,meanDetectionDelaySeconds,forecastMAE,intervalCoverage,intervalMeanWidth,thresholdPolicy,forecastMethod,persistenceMAE,evaluatedForecasts,intervalCount,precision,recall,elapsedSeconds,rowsPerSecond,llmCalls,llmCostUSD
development,73,benign_repetition,persistence,0,0,0,0,0,0,,,0.0,9360,,0.4914848063648395,0.9294871794871795,2.1898217887671105,5 robust standardized units; Isolation Forest prefix 99th percentile,persistence,,,,,,,,,
development,73,benign_repetition,seasonal_12,0,0,0,0,0,0,,,0.0,9360,,0.39118681630726876,0.9294871794871795,1.8942661507950862,5 robust standardized units; Isolation Forest prefix 99th percentile,seasonal_12,,,,,,,,,
development,73,benign_repetition,robust_prefix,0,0,0,0,0,0,,,0.0,9360,,,,,5 robust standardized units; Isolation Forest prefix 99th percentile,,,,,,,,,,
development,73,benign_repetition,isolation_forest_prefix,3,3,0,3,0,0,,0.0,27.692307692307693,9360,,,,,5 robust standardized units; Isolation Forest prefix 99th percentile,,,,,,,,,,
development,73,benign_repetition,eidos_none,0,0,0,0,0,0,,,0.0,9360,,0.49174042572770416,0.9294871794871795,2.1932166104946,,,0.49148480636483927,156.0,156.0,,,7.655999999999949,23.510971786834013,0.0,0.0
development,73,benign_repetition,eidos_multiscale,0,0,0,0,0,0,,,0.0,9360,,0.49959557940494176,0.9358974358974359,2.202381126481398,,,0.49148480636483927,156.0,156.0,,,1.9220000000004802,93.65244536938347,0.0,0.0
development,73,benign_repetition,eidos_regulation,0,0,0,0,0,0,,,0.0,9360,,0.4917279041752368,0.9294871794871795,2.1932166104946,,,0.49148480636483927,156.0,156.0,,,2.1400000000003274,84.11214953269742,0.0,0.0
development,73,benign_repetition,eidos_adapt_all,0,0,0,0,0,0,,,0.0,9360,,0.49174042572770416,0.9294871794871795,2.1932166104946,,,0.49148480636483927,156.0,156.0,,,2.5,72.0,0.0,0.0
development,73,harmful_repetition,persistence,6,6,3,3,3,3,1.0,0.5,27.692307692307693,9360,0.0,1.631207090848267,0.8910256410256411,2.1897419539516982,5 robust standardized units; Isolation Forest prefix 99th percentile,persistence,,,,,,,,,
development,73,harmful_repetition,seasonal_12,24,6,3,3,3,3,1.0,0.5,27.692307692307693,9360,0.0,4.933405782216556,0.7884615384615384,1.9510311532233697,5 robust standardized units; Isolation Forest prefix 99th percentile,seasonal_12,,,,,,,,,
development,73,harmful_repetition,robust_prefix,12,3,3,0,3,3,1.0,1.0,0.0,9360,0.0,,,,5 robust standardized units; Isolation Forest prefix 99th percentile,,,,,,,,,,
development,73,harmful_repetition,isolation_forest_prefix,5,4,2,2,3,2,0.6666666666666666,0.5,18.46153846153846,9360,30.0,,,,5 robust standardized units; Isolation Forest prefix 99th percentile,,,,,,,,,,
development,73,harmful_repetition,eidos_none,6,6,3,3,3,3,1.0,0.5,27.692307692307693,9360,0.0,1.6312070908482672,0.8910256410256411,2.193278322007866,,,1.6312070908482672,156.0,156.0,,,2.4530000000004293,73.37953526293049,0.0,0.0
development,73,harmful_repetition,eidos_multiscale,6,6,3,3,3,3,1.0,0.5,27.692307692307693,9360,0.0,1.6312070908482672,0.8910256410256411,2.193278322007866,,,1.6312070908482672,156.0,156.0,,,2.7969999999995707,64.35466571327409,0.0,0.0
development,73,harmful_repetition,eidos_regulation,6,6,3,3,3,3,1.0,0.5,27.692307692307693,9360,0.0,1.6312070908482672,0.8910256410256411,2.193278322007866,,,1.6312070908482672,156.0,156.0,,,3.57799999999952,50.30743432085639,0.0,0.0
development,73,harmful_repetition,eidos_adapt_all,6,6,3,3,3,3,1.0,0.5,27.692307692307693,9360,0.0,1.6312070908482672,0.9038461538461539,2.335389547301946,,,1.6312070908482672,156.0,156.0,,,3.3590000000003783,53.58737719558789,0.0,0.0
development,73,isolated_spike,persistence,2,1,1,0,1,1,1.0,1.0,0.0,9360,0.0,1.0022753589747004,0.9166666666666666,2.199463603232304,5 robust standardized units; Isolation Forest prefix 99th percentile,persistence,,,,,,,,,
development,73,isolated_spike,seasonal_12,2,2,1,1,1,1,1.0,0.5,9.23076923076923,9360,0.0,0.8939376165698693,0.9166666666666666,1.9004494869704531,5 robust standardized units; Isolation Forest prefix 99th percentile,seasonal_12,,,,,,,,,
development,73,isolated_spike,robust_prefix,1,1,1,0,1,1,1.0,1.0,0.0,9360,0.0,,,,5 robust standardized units; Isolation Forest prefix 99th percentile,,,,,,,,,,
