seed,scenario,system,f_beta,apr,ec,rep,mu,nbc,ndl,fpr,value
0,S1_Backdoor,gzip,0.0,1.0,0.0,0.0,0.0,0.960925,100.0,0.0,0.0
0,S1_Backdoor,zstd,0.0,1.0,0.0,0.0,0.0,999.0,100.0,0.0,nan
0,S1_Backdoor,lzma,0.0,1.0,0.0,0.0,0.0,0.94625,100.0,0.0,0.0
0,S1_Backdoor,zscore,0.19999999999999998,0.0,0.0,0.0,0.0,1.0,0.42,22.22222222222222,0.0
0,S1_Backdoor,ewma,0.05376344086021505,0.0,0.0,0.0,0.0,1.0,0.0,97.77777777777777,0.0
0,S1_Backdoor,cusum,0.0019267822736030828,0.0,0.0,0.0,0.0,1.0,0.19,2877.777777777778,0.0
0,S1_Backdoor,eidos_minimal,0.022727272727272724,1.0,0.0,0.0,0.0,0.960925,0.16,238.88888888888889,0.0
0,S1_Backdoor,eidos_scout,0.022727272727272724,1.0,1.0,1.0,0.0,0.960925,0.16,238.88888888888889,0.00019388532320256094
1,S1_Backdoor,gzip,0.0,1.0,0.0,0.0,0.0,0.96085,100.0,0.0,0.0
1,S1_Backdoor,zstd,0.0,1.0,0.0,0.0,0.0,999.0,100.0,0.0,nan
1,S1_Backdoor,lzma,0.0,1.0,0.0,0.0,0.0,0.9465,100.0,0.0,0.0
1,S1_Backdoor,zscore,0.14705882352941177,0.0,0.0,0.0,0.0,1.0,0.3,32.22222222222222,0.0
1,S1_Backdoor,ewma,0.05319148936170213,0.0,0.0,0.0,0.0,1.0,0.3,98.88888888888889,0.0
1,S1_Backdoor,cusum,0.002172024326672459,0.0,0.0,0.0,0.0,1.0,0.17,2552.222222222222,0.0
1,S1_Backdoor,eidos_minimal,0.022727272727272724,1.0,0.0,0.0,0.0,0.96085,0.77,238.88888888888889,0.0
1,S1_Backdoor,eidos_scout,0.022727272727272724,1.0,1.0,1.0,0.0,0.96085,0.77,238.88888888888889,0.00012707094763761618
