blind_id,receipt,source_file,drive_file_id,fetched_title,title_match,file_size_bytes,downloaded_byte_sha256,lf_normalized_sha256,canonical_json_sha256,locked_raw_sha256,locked_sanitized_sha256,locked_raw_hash_matches_downloaded_bytes,locked_raw_hash_matches_canonical_json
H001,normal,engine_card_025.json,1bxGScv8njqaDoGYEtv435uzYeJAnXwdk,engine_card_025.json,True,5191,30f3a48d8a4fe26d485e5ccaa33f13826a659daefbc47fcc12035ed6bf2a2368,174a37731c0c075f1e5af7c637fcfbe5d833657a51f3bfd3773f405b359a57b7,7513e01efaf632fbec7503c95069eef86c57b6c04711fb00721ff8e3029ae051,2eaf58981ef9109ee79fe8ee573e84e8a01e7a2352b3835f4cfe74663c5128fa,9b3b360c3f28b55cca153a240d3c28e7ce560c7f588038d4c44bc1c2b8fe4653,False,False
H002,normal,engine_card_065.json,1GXuz2L_VPPnEIgDFgUuzFkinlPnBvimX,engine_card_065.json,True,5198,86c506e7ef6128c7e9d4dcb97b2dfa48279cccb9110cad4bf288c0b8251b21da,3aea2c2ddfa0b614fabfa5339fa65eec387485dd80c5e43feccdf4ee4505b590,edacd6d73177ca7a24a58ed1cd2260eaecffe87b7933c3517e68c4af5127024b,870dcb071a45f563ed27e94fe3035c33f0b2185a15e53775669cf09b1ca29962,5766500d627e4e0ebc5c125fda96ab4940a589caf74af499d08be642625bcdf6,False,False
H003,normal,engine_card_054.json,1cc5lSbhMZdZs_kefzLaXpsIAAABx3Y8I,engine_card_054.json,True,5202,ad1afd0ce93aeaf6fc228949df4158394e549af45d259cae9bb594f2aeee77ee,a21d8d0d376a98616f69f37f6b1db87016295c13610b81865769938a89550e8e,a877887637ba0c9113b71d7447c7455b6538012fe9ca36b2eed5b4eec742e0e2,6338d75a0780e3c184364a9a77b67431493e60e04efea5b3f0799c946104e6b8,e6bfd96e68e9379757a26c3e0ca70cbd48c09c3f376c20d495d5e56789f9a3fd,False,False
H004,normal,engine_card_009.json,1gtlUtmNWV1GBIEVZky-MK94Is-1RYiKe,engine_card_009.json,True,5173,0204ef879ea0799a64498fc44b4f4e21985ef6c62df390f144ea0d13a72fe38d,e3b1b0ee8abe33a1f46738eba4ca85dbdc5cf599fe32fff99bea1df505828d22,c1851b520a4b94dd79b5824775ad35beebdc359b6a9281ddb5ccbc8ad01c89c8,8e2c7787bb8d5bf75b7e2f8af639937a49b5c9d0340480c2ee7a5ba41a2e116f,29efaeef7805bd4cc73497aa5ffa06209cc8134bd4a1ff94fc6e15feca6cddd2,False,False
H005,natural,confirmed_event_010.json,15Wgw7o8rEK6fda5eeWPnEJas6vr3MZej,confirmed_event_010.json,True,530,eb203628596fc1dfb625b2cd9f8bb88f3bf37ed95f6c7297b52f4be4346fe286,4c704920712ba3fab98bf6393d4b082d27af165384e346bc97b1af344349095c,407f9744e699354e91c5a119945dbafc19ef2bdd5c50e3133af6c8169f8e5afa,2cbdafc543beb8f378db9f14670d2621ce0013bf2537787f98ec8e23b032cbcb,9f9f8933f9b4d1b82593241192d30255402341cd6bf52567a73b8424d47377f6,False,False
H006,natural,confirmed_event_007.json,1hmn09HqT3eFxnwJzN0GXpH8WUm6DkRoi,confirmed_event_007.json,True,635,bb557f122e3dfb7829dc789e7c80f18a3d1522d7cfd0f7c22139c8804254d4c4,c47059bf058eb5c0860eac9aed862bb86bec421c43fa5392200fff8423753fd4,db2a514a690001384661f231bfffa3879b472c9af71bad1d46fdc4e876c85e9a,988f474788e64bae0aa780251b2637ca2ed81cdde831b090a66a5d114625f109,7eaaa7fa373c2ecb48df5bf507be411fd7cc8234821956ff290cd4c03f3e3ed1,False,False
H007,natural,engine_card_003.json,1J35uhc-Q51s02pxC-y_idbE3l9yo8_ll,engine_card_003.json,True,5207,59b22c9b10a1d7b1a9408323ed7807805f396cdc2b5b8b69188b92daebca778a,f212907a644b66e1ebb587163f3f567f1f3e89f24d54755cc2d41259cfdc0a21,c8b65ae627dc9a45aa8ac44229a38ae52dd8f5b9529fea61f72d8ca842571b56,de1d430504ccb7883491d5794b0dd55e84f1cf5fcba910ee34841b8fec8c0052,28e55eae5d5390c027c9005220cac4176d99a094afc4d4c7b5ef45a6413649dc,False,False
H008,natural,engine_card_004.json,1N1CDUHoaETaWFNr1vOF8sBOhLHRorNnA,engine_card_004.json,True,5193,6cc9ec1b947598dab8b908f7c402efcf06a08593b8856df285be07b34a3ceb71,556ba59f53a06c7c255b07d6cae9a2dc16eab8bd0d2f583c38b05895b441b5f1,a6b5933dc4b868bfdec203bd9ab743374c9e0346c0bb47584211233b5319a7df,12afeb4e7239d198337d338799fe1efeb1562a4117f27492e33d2e5d69f46908,c1a7f42b8bd23e02c62bb887b9097660a3c49fa4865658baf891f29ade7a2728,False,False
H009,normal,engine_card_005.json,1Q5NmLuCFX_IdouQuoF3WMevc_d9xKBwD,engine_card_005.json,True,5195,81cca72b318c66e00b241a5eadb4cd9760876371297c078b19fd0967ae89508b,c77b26835a50243d61cd305b820d81dc10d2306bc08112a2833485f1231b61d8,764c4a2d7136e5fd522b5ec4e7f4b9c01c27f239789eca92d59f23d2799fea81,0c226f2d261987ae8993773e22022dc59ec8a0ad88a44911dcc00e0d3f7456fe,f6490c9bec1b5bc9724adfc3be5a9af28c490741a918639c1c3bfff79da53d46,False,False
H010,natural,confirmed_event_019.json,1sykHYyFpbs4iCkOQ4hfm4TsuIoqLhU4z,confirmed_event_019.json,True,538,93ca13c1f919a588c50fdf7aea2e9c8d53ed83c4a884def419cbe8376f928420,ab3668e6f26aebf8083418ab6526dcf3f7c77a6f6673c10431dc3aea1674d7a9,a042731b64c1369810dc0a242f0ddaa27fcdbd4742f31858747de69fd169828a,e208b3ff42be3d78d272b83c57c0f6682ac8b5ab5e7ab13e922bcaec72bb430b,0f83ab8ab465152dec879f75127b45597da83f5cab6043bf5fd063855e940def,False,False
H011,natural,engine_card_043.json,1hfpxHSAlUfbUtGVDdVDLu2Qg9o8_GO5m,engine_card_043.json,True,5201,575fc87598118144753c2f70c95c0af19c63e32a9044dde1985f142e87bab99a,4ec5976f4c9abf7c5c4c23d85eda525f0aa34553a098e16241a25bb7d2f80058,a9670a06bc485ea5086f8851f61bb0d085e8363a3f76099767c12d7745157cb4,c1605e9d0cf441bb7704b0568f1226b5418ff2b800fa52ca61809cdc820af744,e58bf518d147a92dbcc145b8c8fdb493df12cb3d3b023dbf163cf9b78c150c07,False,False
H012,normal,engine_card_027.json,1VBZgRwybmYpQhdDRsA_qQVC5eKt5yTvV,engine_card_027.json,True,5200,b6d7d058bdad79e089dbb2fd4d6ef1cf43db6fa0c69fb452e5368c1168ab7099,2caeff2b78a2f409add9588de5b3893248df241825723d188f663841861c1ccd,c71ff648afc45ea3f086551b02217451448a12abbd681affc82b1f06d396eaa7,cbeb8033c50295e4221963828fe6d35b0f48c9695688a838dcd9366d73f914fc,e955c6ffb51eee86e89a27ce2e91e413c35bf379d12ba1b59b8875005f457022,False,False
H013,normal,engine_card_047.json,1qe1a2KFp-IxkMfdGwF_t2jnWDu2KaIIq,engine_card_047.json,True,5199,b86e85c7ae14fde109747a68b48a7293f32934a70eb13262e231f6f0a2fb2a0c,cef35e3e22977bcbb1bb30881a2c701f4d93f0fa8c92c1a1956c73e5e5afeeaf,8dd3b3a5a580e094428909da52d34b26befdbf9b150d99654facbdfb47a59aa1,b5400020eb60f2d99eedde91a5f0e051c9be87bd92686ee7c09b90780166a4e3,0642a02210146f011f6c581ca718da19c9dcbcf2a7a4ccbf89bd376e70618cb0,False,False
H014,normal,engine_card_032.json,1Bgs40BcF29jrF4fd_Dd2Y0H4c7C_Xp2C,engine_card_032.json,True,5199,e8277d0302f889e7651351cad60f643a39657bfec0a30a839f7490124b2cbbb7,da2a455ffe18e8a1eb8a1b8fab9e747e5f2e4497ea83273ba9aa95a348dfe6ca,f0bc4b730878fe744caa2f77d126219f20f0a971c48f7a191464d55a9baca778,9b6a3f767c03b94e4234ad867983ba07b6962d952150b4541d1e643b7b48baf4,aa81cb1eca7b786060e3ecb8417b35d279097c7f29183f08b8ee072fb8827b5a,False,False
H015,natural,engine_card_012.json,1UBWSgS3NG9YJoNykz0Y91KvfWcy94FHl,engine_card_012.json,True,5201,e6a8e48fbc7af653ea4a61bbf9974050ba7c463f6114cfe0e9fe765e137d01cb,fde2a411fe9f397cdf5e1e5b556154ce44149c709394d7e9336c68c109101898,e1631d6abce5baf3efc0f2746c92a8c6f63da08f949dcac4891d31ab5f1fb118,ff006ce7f20ff0b40dcbbc3d53440df7ee9debc5d0a93128c4c8266635e84a8c,85b1e88994d3293f1e3fe1fa3d08779849838be28251b988d6729f107e91a1eb,False,False
