blind_id,receipt,source_file,drive_file_id,card_type,evidence_linked,f676_surface_sha256,patched_surface_sha256,legacy_usefulness,legacy_evidence_traceability,legacy_explanation_specificity,legacy_actionability,legacy_safety_calibration,legacy_concision_scannability,legacy_composite,f676_proxy_usefulness,f676_proxy_evidence_traceability,f676_proxy_explanation_specificity,f676_proxy_actionability,f676_proxy_safety_calibration,f676_proxy_concision_scannability,f676_proxy_composite,patched_proxy_usefulness,patched_proxy_evidence_traceability,patched_proxy_explanation_specificity,patched_proxy_actionability,patched_proxy_safety_calibration,patched_proxy_concision_scannability,patched_proxy_composite,legacy_low_score_rationales,f676_score_basis,patched_score_basis,f676_paired_delta,patched_paired_delta
H001,normal,engine_card_025.json,1bxGScv8njqaDoGYEtv435uzYeJAnXwdk,engine_card,False,e21b4682122432d02524077f6eb58519b524a71386dd0e401d8e9b14b248ec24,a9718beb89a4477b96fdad6fdfbe0badad084a0105c2cbda6bc6509f0a5f01ae,3,4,2,3,2,2,2.75,4,4,3,4,5,4,4.05,4,4,3,4,5,4,4.05,"Explanation specificity=2: summary, hypotheses, and actions are template-like; projected feature names are not translated into incident meaning. | Safety/calibration=2: 0.85 card confidence and 1.0 hypothesis confidence coexist with an unknown zero-confidence forecast, while severity is not visibly reconciled to the displayed z-score. | Concision=2: the card repeats three full similar-episode payloads and low-level numeric fields without a scannable operator summary.",Engine surface: traceable values and bounded actions; projected components remain opaque and prose remains templated.,Engine surface unchanged in rubric-relevant structure.,1.3,1.3
H002,normal,engine_card_065.json,1GXuz2L_VPPnEIgDFgUuzFkinlPnBvimX,engine_card,False,03b614daf7f6783f573d48093cac380a35fd384f93b1719d1d27e88d3cad9448,f43d32acac9ee175eb1083087194325b76635616c392ab97c48e264f338d3567,3,4,2,3,2,2,2.75,4,4,3,4,5,4,4.05,4,4,3,4,5,4,4.05,"Explanation specificity=2: summary, hypotheses, and actions are template-like; projected feature names are not translated into incident meaning. | Safety/calibration=2: 0.85 card confidence and 1.0 hypothesis confidence coexist with an unknown zero-confidence forecast, while severity is not visibly reconciled to the displayed z-score. | Concision=2: the card repeats three full similar-episode payloads and low-level numeric fields without a scannable operator summary.",Engine surface: traceable values and bounded actions; projected components remain opaque and prose remains templated.,Engine surface unchanged in rubric-relevant structure.,1.3,1.3
H003,normal,engine_card_054.json,1cc5lSbhMZdZs_kefzLaXpsIAAABx3Y8I,engine_card,False,80dad755fea5c2d027552b3f663345f54e407f78ae96a8d63d0b5110035a0c60,90c357a35bf24ef649bffab77d1685cd505b635646a408eda1bf9d39bfbd2e5e,3,4,2,3,2,2,2.75,4,4,3,4,5,4,4.05,4,4,3,4,5,4,4.05,"Explanation specificity=2: summary, hypotheses, and actions are template-like; projected feature names are not translated into incident meaning. | Safety/calibration=2: 0.85 card confidence and 1.0 hypothesis confidence coexist with an unknown zero-confidence forecast, while severity is not visibly reconciled to the displayed z-score. | Concision=2: the card repeats three full similar-episode payloads and low-level numeric fields without a scannable operator summary.",Engine surface: traceable values and bounded actions; projected components remain opaque and prose remains templated.,Engine surface unchanged in rubric-relevant structure.,1.3,1.3
H004,normal,engine_card_009.json,1gtlUtmNWV1GBIEVZky-MK94Is-1RYiKe,engine_card,False,21247a6e631a7e40ed39f03c9b20fb989e4f885ddaac2d8f8be3b3b82fe8964e,be79fde0f39cf0ef3eb3a8cfa8a23cc2b8a453924a601e0b2ff70196722af4d8,3,4,2,3,2,2,2.75,4,4,3,4,5,4,4.05,4,4,3,4,5,4,4.05,"Explanation specificity=2: summary, hypotheses, and actions are template-like; projected feature names are not translated into incident meaning. | Safety/calibration=2: 0.85 card confidence and 1.0 hypothesis confidence coexist with an unknown zero-confidence forecast, while severity is not visibly reconciled to the displayed z-score. | Concision=2: the card repeats three full similar-episode payloads and low-level numeric fields without a scannable operator summary.",Engine surface: traceable values and bounded actions; projected components remain opaque and prose remains templated.,Engine surface unchanged in rubric-relevant structure.,1.3,1.3
H005,natural,confirmed_event_010.json,15Wgw7o8rEK6fda5eeWPnEJas6vr3MZej,confirmed_event,True,fb47a13758fd481827c7c6d15ddd415272a281e97409e37b283a95d0d302f1eb,c662b9862fcd03e64df186ececd142c41baf8d293ab8c025871d47f69f2790a9,2,3,2,1,2,4,2.25,4,3,3,3,5,4,3.7,4,4,3,4,5,4,4.05,"Usefulness=2: the frame interval and severity are visible, but no summary, drivers, or operator interpretation is supplied. | Explanation specificity=2: the reasons are repeated threshold phrases rather than incident-specific explanation. | Actionability=1: no operator action or bounded next step is present. | Safety/calibration=2: fixed 0.86 confidence and RED/AMBER severity are asserted without visible calibrated support or top drivers.",Confirmed surface: clear bounded window but no ranked drivers; first action also asks for unavailable drivers.,Linked surface: overlapping engine evidence supplies ranked drivers and raw references without changing the event.,1.45,1.8
H006,natural,confirmed_event_007.json,1hmn09HqT3eFxnwJzN0GXpH8WUm6DkRoi,confirmed_event,True,45a4673455ae312fad0ab45269373b5efaf043d7d2f88596feb7415473fe7ae1,027777dd5fe887d9b8042dad2c0645dc604345a06599344f9d8483e2f34f574e,2,3,2,1,2,4,2.25,4,3,3,3,5,4,3.7,4,4,3,4,5,4,4.05,"Usefulness=2: the frame interval and severity are visible, but no summary, drivers, or operator interpretation is supplied. | Explanation specificity=2: the reasons are repeated threshold phrases rather than incident-specific explanation. | Actionability=1: no operator action or bounded next step is present. | Safety/calibration=2: fixed 0.86 confidence and RED/AMBER severity are asserted without visible calibrated support or top drivers.",Confirmed surface: clear bounded window but no ranked drivers; first action also asks for unavailable drivers.,Linked surface: overlapping engine evidence supplies ranked drivers and raw references without changing the event.,1.45,1.8
H007,natural,engine_card_003.json,1J35uhc-Q51s02pxC-y_idbE3l9yo8_ll,engine_card,False,d397f86bc2dc1f7f25e2936611c91a6edf8eb7616152e13b38479c47243801cb,d2d0e22d98291619a5a37fd1af5cc4db5a293477f95e8f01321b583a2ae25245,3,4,2,3,2,2,2.75,4,4,3,4,5,4,4.05,4,4,3,4,5,4,4.05,"Explanation specificity=2: summary, hypotheses, and actions are template-like; projected feature names are not translated into incident meaning. | Safety/calibration=2: 0.85 card confidence and 1.0 hypothesis confidence coexist with an unknown zero-confidence forecast, while severity is not visibly reconciled to the displayed z-score. | Concision=2: the card repeats three full similar-episode payloads and low-level numeric fields without a scannable operator summary.",Engine surface: traceable values and bounded actions; projected components remain opaque and prose remains templated.,Engine surface unchanged in rubric-relevant structure.,1.3,1.3
H008,natural,engine_card_004.json,1N1CDUHoaETaWFNr1vOF8sBOhLHRorNnA,engine_card,False,9e60eaa7d93a295788ba852995176bde9126ffb921e2e233a5014c1b28cdcac7,77b82881c68aa870770853ab68ef2556f5edd0aab0a91780f384ed9e52327a93,3,4,2,3,2,2,2.75,4,4,3,4,5,4,4.05,4,4,3,4,5,4,4.05,"Explanation specificity=2: summary, hypotheses, and actions are template-like; projected feature names are not translated into incident meaning. | Safety/calibration=2: 0.85 card confidence and 1.0 hypothesis confidence coexist with an unknown zero-confidence forecast, while severity is not visibly reconciled to the displayed z-score. | Concision=2: the card repeats three full similar-episode payloads and low-level numeric fields without a scannable operator summary.",Engine surface: traceable values and bounded actions; projected components remain opaque and prose remains templated.,Engine surface unchanged in rubric-relevant structure.,1.3,1.3
H009,normal,engine_card_005.json,1Q5NmLuCFX_IdouQuoF3WMevc_d9xKBwD,engine_card,False,b23f517dca37cd341c340a7324c44ecc4239ac0d85c4b38e5437e86ed4dd0d1c,07a8a6e6eccd8d8a08fdb3a2b80059143b0836d270fc1e17f3c92e5721264fcd,3,4,2,3,2,2,2.75,4,4,3,4,5,4,4.05,4,4,3,4,5,4,4.05,"Explanation specificity=2: summary, hypotheses, and actions are template-like; projected feature names are not translated into incident meaning. | Safety/calibration=2: 0.85 card confidence and 1.0 hypothesis confidence coexist with an unknown zero-confidence forecast, while severity is not visibly reconciled to the displayed z-score. | Concision=2: the card repeats three full similar-episode payloads and low-level numeric fields without a scannable operator summary.",Engine surface: traceable values and bounded actions; projected components remain opaque and prose remains templated.,Engine surface unchanged in rubric-relevant structure.,1.3,1.3
H010,natural,confirmed_event_019.json,1sykHYyFpbs4iCkOQ4hfm4TsuIoqLhU4z,confirmed_event,False,0f8e72d435dac871fc982eee5be29a3d9305478dd45db546d91b9fe27b6465f9,9c91129cb8cbff05db19bb2a22a952dd0961e4f2217b07be6e10228350f04580,2,3,2,1,2,4,2.25,4,3,3,3,5,4,3.7,4,3,3,4,5,4,3.85,"Usefulness=2: the frame interval and severity are visible, but no summary, drivers, or operator interpretation is supplied. | Explanation specificity=2: the reasons are repeated threshold phrases rather than incident-specific explanation. | Actionability=1: no operator action or bounded next step is present. | Safety/calibration=2: fixed 0.86 confidence and RED/AMBER severity are asserted without visible calibrated support or top drivers.",Confirmed surface: clear bounded window but no ranked drivers; first action also asks for unavailable drivers.,"Unlinked confirmed surface: bounded action no longer implies drivers exist, but evidence linkage remains incomplete.",1.45,1.6
